filename,rule_of_thirds,leading_lines,framing,symmetry,patterns,golden_ratio,layers,negative_space,fill_the_frame
0053.jpg,1,0,0,0,0,0,0,0,0
0054.jpg,1,0,0,0,0,0,1,0,0
0055.jpg,0,1,0,0,0,0,0,0,0
0056.jpg,0,0,0,0,0,0,1,0,0
0057.jpg,1,1,0,0,0,0,0,0,0
0058.jpg,0,0,0,0,1,0,0,0,0
0059.jpg,1,0,0,0,1,0,0,0,0
0060.jpg,1,1,0,0,0,0,0,0,0
0061.jpg,1,0,0,0,0,0,0,0,0
0062.jpg,1,0,0,0,0,0,1,1,0
0063.jpg,1,0,0,0,0,0,0,0,0
0064.jpg,1,0,0,0,0,0,1,0,0
0065.jpg,0,0,1,0,0,0,0,0,0
0066.jpg,0,1,0,0,0,0,0,0,0
0067.jpg,1,0,0,0,0,0,0,0,0
0068.jpg,0,1,0,0,0,0,1,0,0
0069.jpg,1,0,0,0,0,0,0,0,0
0070.jpg,0,0,0,0,1,0,0,0,0
0071.jpg,0,0,0,0,0,0,0,1,0
0072.jpg,0,0,0,0,0,0,1,1,0
0073.jpg,0,0,0,0,0,0,0,0,0
0074.jpg,1,0,0,0,0,0,0,0,0
0075.jpg,1,0,0,0,0,0,1,0,0
0076.jpg,0,0,0,0,1,0,0,1,0
0077.jpg,0,0,0,0,0,0,0,0,0
0078.jpg,0,0,0,0,0,0,1,0,0
0079.jpg,0,1,0,0,0,0,0,0,0
0080.jpg,0,1,0,0,1,0,0,0,0
0081.jpg,1,0,0,0,0,0,0,0,0
0082.jpg,1,0,0,0,0,0,0,0,0
0083.jpg,1,1,0,0,0,0,0,1,0
0084.jpg,0,0,0,0,0,0,0,1,0
0085.jpg,0,0,0,0,1,0,0,0,0
0086.jpg,1,0,0,0,0,0,0,1,0
0087.jpg,0,0,1,0,0,0,0,0,0
0088.jpg,1,0,0,0,1,0,0,0,0
0089.jpg,0,0,0,0,0,0,0,1,0
0090.jpg,0,0,0,0,0,0,0,1,0
0091.jpg,0,0,0,0,0,0,1,0,0
0092.jpg,0,0,0,0,0,0,0,0,0
0093.jpg,0,0,1,0,0,0,0,0,0
0094.jpg,1,0,1,0,0,0,0,0,0
0095.jpg,1,0,0,0,0,0,0,1,0
0096.jpg,1,0,0,0,0,0,0,0,0
0097.jpg,1,0,0,0,0,0,0,1,0
0098.jpg,0,0,0,0,0,0,0,1,0
0099.jpg,1,0,0,0,0,0,0,1,0
0100.jpg,1,1,0,0,0,0,0,1,0
0101.jpg,0,1,1,0,0,0,0,0,0
0102.jpg,0,1,0,0,0,0,0,0,0
0103.jpg,0,1,0,0,0,0,0,0,0
0104.jpg,0,1,0,0,0,0,0,0,0
0105.jpg,0,1,1,0,0,0,0,0,0
0106.jpg,0,1,0,0,0,0,0,0,0
0107.jpg,0,1,0,0,0,0,0,0,0
0108.jpg,0,1,0,0,0,0,0,0,0
0109.jpg,0,1,0,0,0,0,1,0,0
0110.jpg,0,1,1,0,0,0,0,0,0
0111.jpg,0,1,1,0,0,0,0,0,0
0112.jpg,0,1,0,0,0,0,0,0,0
0113.jpg,0,1,0,0,0,0,0,0,0
0114.jpg,0,1,0,0,0,0,0,0,0
0115.jpg,0,1,0,0,0,0,0,0,0
0116.jpg,0,1,0,0,1,0,0,0,0
0117.jpg,0,1,0,0,0,0,0,0,0
0118.jpg,0,1,1,0,0,0,0,0,0
0119.jpg,0,1,0,1,0,0,0,0,0
0120.jpg,0,1,0,0,0,0,0,0,0
0121.jpg,0,1,1,0,0,0,0,0,0
0122.jpg,0,1,0,0,0,0,0,1,0
0123.jpg,0,1,0,0,0,0,0,0,0
0124.jpg,0,1,1,0,0,0,0,1,0
0125.jpg,0,1,0,0,0,0,0,0,0
0126.jpg,0,0,0,0,1,0,0,0,0
0127.jpg,1,1,0,0,0,0,0,0,0
0128.jpg,0,1,0,0,0,0,0,0,0
0129.jpg,0,1,0,0,1,0,0,0,0
0130.jpg,0,1,1,0,0,0,0,0,0
0131.jpg,1,1,0,0,0,0,1,0,0
0132.jpg,0,1,0,1,0,0,0,0,0
0133.jpg,0,1,0,0,0,0,0,0,0
0134.jpg,1,1,0,0,0,0,0,0,0
0135.jpg,0,1,0,0,0,0,0,0,0
0136.jpg,0,1,0,0,0,0,0,0,0
0137.jpg,0,1,0,0,1,0,0,0,0
0138.jpg,0,1,0,0,0,0,0,0,0
0139.jpg,0,1,0,0,0,0,0,0,0
0140.jpg,0,1,0,0,0,0,0,0,0
0141.jpg,0,1,0,0,0,0,0,0,0
0142.jpg,0,1,0,0,0,0,0,0,0
0143.jpg,0,1,0,0,0,0,0,0,0
0144.jpg,0,1,0,0,0,0,0,0,0
0145.jpg,0,1,1,0,0,0,0,0,0
0146.jpg,0,1,0,0,0,0,0,0,0
0147.jpg,0,1,0,0,0,0,0,0,0
0148.jpg,0,1,0,0,0,0,0,0,0
0149.jpg,0,1,0,0,0,0,0,0,0
0150.jpg,0,1,0,0,0,0,0,0,0
0151.jpg,0,1,0,0,0,0,0,0,0
0152.jpg,0,1,0,0,0,0,0,0,0
0153.jpg,0,1,0,0,0,0,0,0,0
0154.jpg,0,1,0,0,0,0,0,0,0
0155.jpg,0,1,0,0,0,0,0,1,0
0156.jpg,0,1,0,0,0,0,0,0,0
0157.jpg,0,1,0,0,0,0,0,0,0
0158.jpg,0,1,0,0,0,0,1,0,0
0159.jpg,0,1,0,0,0,0,0,0,0
0160.jpg,0,1,0,0,1,0,0,0,0
0161.jpg,0,1,0,0,0,0,0,0,0
0162.jpg,0,1,0,0,1,0,0,0,0
0163.jpg,0,0,0,0,0,0,0,0,0
0164.jpg,0,0,1,0,0,0,0,0,0
0165.jpg,0,1,0,0,0,0,0,0,0
0166.jpg,0,1,0,0,0,0,0,0,0
0167.jpg,0,1,0,0,0,0,0,0,0
0168.jpg,0,1,1,0,0,0,0,0,0
0169.jpg,0,1,0,0,0,0,0,0,0
0170.jpg,0,1,0,1,0,0,0,0,0
0171.jpg,0,1,0,0,0,0,0,0,0
0172.jpg,0,1,0,0,0,0,0,0,0
0173.jpg,0,1,0,0,0,0,0,0,0
0174.jpg,0,1,0,0,0,0,0,0,0
0175.jpg,0,1,0,0,0,0,0,0,0
0176.jpg,0,1,0,0,0,0,0,0,0
0177.jpg,0,1,0,1,0,0,0,0,0
0178.jpg,0,1,0,0,0,0,0,0,0
0179.jpg,0,1,0,0,0,0,0,0,0
0180.jpg,0,1,0,0,0,0,0,0,0
0181.jpg,0,1,1,0,0,0,0,0,0
0182.jpg,0,1,0,0,0,0,0,0,0
0183.jpg,0,1,0,0,1,0,0,0,0
0184.jpg,0,1,0,0,0,0,0,0,0
0185.jpg,0,1,0,0,0,0,0,0,0
0186.jpg,1,1,1,0,0,0,0,0,0
0187.jpg,0,1,0,0,0,0,0,0,0
0188.jpg,0,1,0,0,0,0,0,0,0
0189.jpg,0,1,0,0,1,0,0,0,0
0190.jpg,0,1,1,0,0,0,0,0,0
0191.jpg,1,1,0,0,0,0,0,0,0
0192.jpg,0,1,0,0,0,0,0,0,0
0193.jpg,0,1,0,0,0,0,1,0,0
0194.jpg,0,1,1,0,0,0,0,0,0
0195.jpg,0,1,1,0,0,0,0,0,0
0196.jpg,0,1,0,0,0,0,0,1,0
0197.jpg,0,1,1,0,0,0,0,0,0
0198.jpg,0,1,0,0,0,0,0,0,0
0199.jpg,0,1,0,0,0,0,0,0,0
0200.jpg,0,1,0,0,0,0,0,0,0
0201.jpg,0,0,1,0,0,0,0,0,0
0202.jpg,0,0,1,0,0,0,0,0,0
0203.jpg,0,0,1,0,0,0,0,0,0
0204.jpg,0,1,1,0,0,0,0,0,0
0205.jpg,0,0,1,0,0,0,0,0,0
0206.jpg,0,0,1,0,0,0,0,0,0
0207.jpg,0,1,1,0,0,0,0,0,0
0208.jpg,0,0,1,0,0,0,0,0,0
0209.jpg,0,0,1,0,0,0,0,0,0
0210.jpg,0,0,1,0,0,0,0,0,0
0211.jpg,0,0,1,0,0,0,0,0,0
0212.jpg,0,0,1,0,0,0,0,0,0
0213.jpg,0,1,1,0,0,0,0,0,0
0214.jpg,0,1,1,0,0,0,0,0,0
0215.jpg,0,0,1,0,0,0,0,0,0
0216.jpg,0,0,1,0,0,0,0,0,0
0217.jpg,0,1,1,0,0,0,0,0,0
0218.jpg,1,0,1,0,0,0,0,0,0
0219.jpg,0,0,1,0,0,0,0,0,0
0220.jpg,0,0,1,0,0,0,0,0,0
0221.jpg,0,0,1,0,0,0,0,0,0
0222.jpg,0,0,1,0,0,0,0,0,0
0223.jpg,0,1,1,0,0,0,0,0,0
0224.jpg,0,1,1,0,0,0,0,0,0
0225.jpg,0,0,1,0,0,0,0,0,0
0226.jpg,0,0,1,0,0,0,0,0,0
0227.jpg,0,0,1,0,0,0,0,0,0
0228.jpg,0,0,1,0,0,0,0,0,0
0229.jpg,0,1,1,0,0,0,0,0,0
0230.jpg,0,0,1,0,0,0,0,0,0
0231.jpg,0,0,1,0,0,0,0,0,0
0232.jpg,0,0,1,0,1,0,0,0,0
0233.jpg,0,0,1,0,0,0,0,0,0
0234.jpg,0,0,1,0,0,0,0,0,0
0235.jpg,0,0,1,0,0,0,0,0,0
0236.jpg,0,0,1,0,0,0,0,0,0
0237.jpg,0,1,1,0,0,0,0,0,0
0238.jpg,0,0,1,0,0,0,0,0,0
0239.jpg,0,0,1,0,0,0,0,0,0
0240.jpg,0,0,1,0,0,0,0,0,0
0241.jpg,0,1,1,0,0,0,0,0,0
0242.jpg,0,1,1,0,0,0,0,0,0
0243.jpg,0,0,1,0,0,0,1,0,0
0244.jpg,0,0,1,0,0,0,0,0,0
0245.jpg,1,1,1,0,0,0,0,0,0
0246.jpg,0,1,1,0,0,0,0,0,0
0247.jpg,0,0,1,0,0,0,0,0,0
0248.jpg,0,0,1,0,0,0,0,0,0
0249.jpg,0,0,1,0,0,0,0,0,0
0250.jpg,0,0,1,0,0,0,0,0,0
0251.jpg,0,0,1,0,0,0,0,0,0
0252.jpg,0,0,1,0,0,0,0,0,0
0253.jpg,0,0,1,0,0,0,1,0,0
0254.jpg,0,0,1,0,0,0,0,0,0
0255.jpg,0,0,1,0,0,0,0,0,0
0256.jpg,0,0,1,0,0,0,0,0,0
0257.jpg,0,0,1,0,0,0,0,0,0
0258.jpg,0,1,1,0,0,0,0,0,0
0259.jpg,0,0,1,0,0,0,1,0,0
0260.jpg,0,0,1,0,0,0,0,0,0
0261.jpg,0,0,1,0,0,0,1,0,0
0262.jpg,0,0,1,0,0,0,0,0,0
0263.jpg,0,0,1,0,0,0,0,0,0
0264.jpg,0,0,1,0,0,0,0,0,0
0265.jpg,0,1,1,0,0,0,0,0,0
0266.jpg,0,0,1,0,0,0,0,0,0
0267.jpg,0,0,1,0,0,0,1,0,0
0268.jpg,0,0,1,0,0,0,0,0,0
0269.jpg,0,0,1,0,0,0,0,0,0
0270.jpg,0,0,1,0,0,0,0,0,0
0271.jpg,0,0,1,0,1,0,0,0,0
0272.jpg,0,1,1,0,0,0,0,0,0
0273.jpg,0,1,1,0,0,0,0,0,0
0274.jpg,0,1,1,0,0,0,0,0,0
0275.jpg,0,0,1,0,0,0,0,0,0
0276.jpg,0,1,1,0,0,0,0,0,0
0277.jpg,0,0,1,0,0,0,1,0,0
0278.jpg,0,0,1,0,0,0,0,0,0
0279.jpg,0,0,1,0,0,0,0,0,0
0280.jpg,0,0,1,0,0,0,0,0,0
0281.jpg,0,1,1,0,0,0,0,0,0
0282.jpg,0,0,1,0,0,0,0,0,0
0283.jpg,0,1,1,0,0,0,0,0,0
0284.jpg,0,0,1,0,0,0,0,0,0
0285.jpg,0,0,1,0,0,0,0,0,0
0286.jpg,0,0,1,0,0,0,0,0,0
0287.jpg,0,0,1,0,0,0,0,0,0
0288.jpg,0,0,1,0,0,0,0,0,0
0289.jpg,0,1,1,0,0,0,0,0,0
0290.jpg,0,0,1,0,0,0,0,0,0
0291.jpg,0,0,1,0,0,0,0,0,0
0292.jpg,0,0,1,0,0,0,0,0,0
0293.jpg,0,0,1,0,0,0,0,0,0
0294.jpg,0,1,1,0,0,0,0,0,0
0295.jpg,0,0,1,0,0,0,0,0,0
0296.jpg,0,0,1,0,0,0,0,0,0
0297.jpg,0,0,1,0,0,0,0,0,0
0298.jpg,0,0,1,0,0,0,0,0,0
0299.jpg,1,0,1,0,0,0,1,0,0
0300.jpg,0,0,1,0,0,0,0,0,0
0301.jpg,0,0,1,0,0,0,0,0,0
0302.jpg,0,0,0,0,0,0,0,0,0
0303.jpg,1,0,1,0,0,0,0,0,0
0304.jpg,0,1,0,0,0,0,0,0,0
0305.jpg,0,0,1,0,0,0,0,0,0
0306.jpg,0,1,1,0,0,0,0,0,0
0307.jpg,0,1,0,0,1,0,0,0,0
0308.jpg,0,1,0,0,1,0,0,1,0
0309.jpg,0,1,0,0,1,0,0,0,0
0310.jpg,0,0,0,0,1,0,0,0,0
0311.jpg,0,1,0,0,1,0,0,0,0
0312.jpg,0,1,0,0,0,0,0,0,0
0313.jpg,0,0,1,0,0,0,1,0,0
0314.jpg,0,0,0,0,0,0,0,0,0
0315.jpg,0,0,0,0,0,0,0,1,0
0316.jpg,0,1,1,0,0,0,0,0,0
0317.jpg,0,1,0,0,0,0,0,0,0
0318.jpg,0,1,1,0,0,0,0,0,0
0319.jpg,0,0,0,0,0,0,0,0,0
0320.jpg,0,0,0,0,1,0,0,0,0
0321.jpg,0,0,0,0,0,0,1,0,0
0322.jpg,0,0,0,0,0,0,0,0,0
0323.jpg,0,1,0,0,1,0,0,0,0
0324.jpg,0,0,0,0,0,0,0,0,0
0325.jpg,0,0,0,0,0,0,0,0,0
0326.jpg,0,0,0,0,0,0,0,0,0
0327.jpg,1,0,0,0,0,0,0,0,0
0328.jpg,0,0,0,0,0,0,0,0,0
0329.jpg,0,0,1,0,0,0,0,0,0
0330.jpg,1,0,0,0,0,0,0,0,0
0331.jpg,1,0,0,0,0,0,0,1,0
0332.jpg,0,1,0,0,1,0,0,0,0
0333.jpg,0,0,0,0,0,0,0,0,0
0334.jpg,0,1,0,0,0,0,0,0,0
0335.jpg,0,1,1,0,0,0,0,0,0
0336.jpg,0,0,1,0,0,0,0,0,0
0337.jpg,0,1,0,0,0,0,0,0,0
0338.jpg,0,0,0,0,0,0,0,0,0
0339.jpg,0,0,1,0,0,0,0,0,0
0340.jpg,0,0,0,0,0,0,0,0,0
0341.jpg,0,0,0,0,0,0,0,0,0
0342.jpg,1,0,0,0,0,0,0,0,0
0343.jpg,0,0,1,0,0,0,0,0,0
0344.jpg,0,0,1,0,0,0,0,0,0
0345.jpg,0,0,0,0,0,0,0,0,0
0346.jpg,0,0,1,0,0,0,0,0,0
0347.jpg,0,1,1,0,0,0,0,0,0
0348.jpg,0,0,1,0,0,0,0,0,0
0349.jpg,0,0,1,0,0,0,0,0,0
0350.jpg,0,0,0,0,0,0,0,0,0
0351.jpg,1,0,0,0,0,0,0,0,0
0352.jpg,0,0,0,0,0,0,0,0,0
0353.jpg,0,0,0,0,0,0,0,0,0
0354.jpg,0,0,0,0,0,0,0,0,0
0355.jpg,0,0,1,0,0,0,0,0,0
0356.jpg,0,0,0,0,0,0,0,0,0
0357.jpg,0,0,0,0,0,0,0,0,0
0358.jpg,0,0,0,0,0,0,0,0,0
0359.jpg,0,1,1,0,0,0,0,0,0
0360.jpg,0,1,0,0,0,0,0,1,0
0361.jpg,0,1,0,0,0,0,0,0,0
0362.jpg,0,0,0,0,0,0,0,0,0
0363.jpg,0,0,0,0,0,0,0,0,0
0364.jpg,1,0,0,0,0,0,0,0,0
0365.jpg,1,0,0,0,0,0,0,0,0
0366.jpg,0,0,0,0,0,0,0,0,0
0367.jpg,0,0,1,0,0,0,0,0,0
0368.jpg,0,0,0,0,0,0,0,0,0
0369.jpg,0,0,1,0,0,0,0,0,0
0370.jpg,0,0,0,0,0,0,0,0,0
0371.jpg,0,0,1,0,0,0,0,0,0
0372.jpg,0,0,0,0,0,0,0,0,0
0373.jpg,1,0,0,0,0,0,0,0,0
0374.jpg,0,0,1,0,0,0,0,0,0
0375.jpg,1,0,0,0,0,0,0,0,0
0376.jpg,0,0,0,0,0,0,0,0,0
0377.jpg,1,0,0,0,0,0,0,0,0
0378.jpg,1,0,0,0,0,0,0,0,0
0379.jpg,1,0,0,0,0,0,0,0,0
0380.jpg,0,0,1,0,0,0,0,0,0
0381.jpg,0,0,0,0,0,0,0,0,0
0382.jpg,0,0,0,0,0,0,0,0,0
0383.jpg,0,1,0,0,0,0,0,0,0
0384.jpg,0,0,0,0,0,0,0,0,0
0385.jpg,0,1,0,0,0,0,0,0,0
0386.jpg,0,0,1,0,0,0,0,0,0
0387.jpg,0,0,0,0,0,0,0,0,0
0388.jpg,1,0,0,0,0,0,0,0,0
0389.jpg,0,0,1,0,0,0,0,0,0
0390.jpg,0,1,0,0,0,0,0,0,0
0391.jpg,0,0,0,0,0,0,0,0,0
0392.jpg,0,0,1,0,0,0,0,0,0
0393.jpg,0,0,0,0,0,0,0,1,0
0394.jpg,0,1,0,0,0,0,0,0,0
0395.jpg,0,0,0,0,0,0,0,0,0
0396.jpg,1,0,0,0,0,0,0,0,0
0397.jpg,1,0,0,0,0,0,0,0,0
0398.jpg,0,1,1,0,0,0,0,0,0
0399.jpg,0,0,0,0,0,0,0,1,0
0400.jpg,1,0,0,0,0,0,0,0,0
0401.jpg,0,1,0,1,1,0,0,0,0
0402.jpg,0,1,0,1,1,0,0,0,0
0403.jpg,0,1,0,1,0,0,0,0,0
0404.jpg,0,0,0,1,1,0,0,0,0
0405.jpg,0,1,1,1,0,0,0,0,0
0406.jpg,0,1,1,1,1,0,0,0,0
0407.jpg,0,1,0,1,1,0,0,0,0
0408.jpg,0,0,0,1,0,0,0,0,0
0409.jpg,0,0,0,1,1,0,0,0,0
0410.jpg,0,0,0,1,1,0,0,0,0
0411.jpg,0,0,0,1,0,0,0,0,0
0412.jpg,0,1,0,1,1,0,0,0,0
0413.jpg,0,1,1,1,1,0,0,0,0
0414.jpg,0,0,0,1,1,0,0,0,0
0415.jpg,0,1,0,1,1,0,0,0,0
0416.jpg,0,0,0,0,1,0,0,0,0
0417.jpg,0,1,0,1,1,0,0,0,0
0418.jpg,0,1,0,1,1,0,0,0,0
0419.jpg,0,0,0,1,0,0,0,0,0
0420.jpg,0,1,0,1,1,0,0,0,0
0421.jpg,0,0,0,1,0,0,0,0,0
0422.jpg,0,1,0,1,1,0,0,0,0
0423.jpg,0,1,1,1,1,0,0,0,0
0424.jpg,0,1,0,1,0,0,0,0,0
0425.jpg,0,0,0,1,1,0,0,0,0
0426.jpg,0,1,0,1,0,0,0,0,0
0427.jpg,0,1,0,1,1,0,0,0,0
0428.jpg,0,0,0,1,1,0,0,0,0
0429.jpg,0,1,1,1,1,0,0,0,0
0430.jpg,0,0,0,1,1,0,0,0,0
0431.jpg,0,0,0,1,1,0,0,0,0
0432.jpg,0,0,0,1,0,0,0,0,0
0433.jpg,0,0,0,1,1,0,0,0,0
0434.jpg,0,1,0,1,1,0,0,0,0
0435.jpg,0,0,0,1,0,0,0,0,0
0436.jpg,0,0,0,1,1,0,0,0,0
0437.jpg,0,1,1,1,1,0,0,0,0
0438.jpg,0,0,0,1,1,0,0,0,0
0439.jpg,0,0,0,1,1,0,0,0,0
0440.jpg,0,0,0,1,1,0,0,0,0
0441.jpg,0,0,0,1,1,0,0,0,0
0442.jpg,0,0,0,1,1,0,0,0,0
0443.jpg,0,0,0,1,0,0,0,0,0
0444.jpg,0,0,0,1,1,0,0,0,0
0445.jpg,0,0,0,1,1,0,0,0,0
0446.jpg,0,1,0,1,0,0,0,0,0
0447.jpg,0,0,0,1,0,0,0,0,0
0448.jpg,0,0,0,1,1,0,0,0,0
0449.jpg,0,0,0,1,1,0,0,0,0
0450.jpg,0,0,0,1,1,0,0,0,0
0451.jpg,0,0,0,1,1,0,0,0,0
0452.jpg,0,0,0,1,1,0,0,0,0
0453.jpg,0,0,0,1,1,0,0,0,0
0454.jpg,0,0,0,1,1,0,0,0,0
0455.jpg,0,0,0,0,1,0,0,0,0
0456.jpg,0,1,0,1,1,0,0,0,0
0457.jpg,0,0,0,1,0,0,0,1,0
0458.jpg,0,0,0,1,0,0,0,0,0
0459.jpg,0,1,0,1,0,0,0,0,0
0460.jpg,0,0,0,1,0,0,0,0,0
0461.jpg,0,1,1,1,0,0,0,0,0
0462.jpg,0,0,0,1,0,0,0,0,0
0463.jpg,0,0,0,1,0,0,0,0,0
0464.jpg,0,1,0,1,1,0,0,0,0
0465.jpg,0,0,0,1,1,0,0,0,0
0466.jpg,0,0,0,1,1,0,0,0,0
0467.jpg,0,0,0,1,1,0,0,0,0
0468.jpg,0,0,0,1,1,0,0,0,0
0469.jpg,0,0,1,1,1,0,0,0,0
0470.jpg,0,1,0,1,0,0,0,0,0
0471.jpg,0,0,0,1,1,0,0,0,1
0472.jpg,0,0,0,1,1,0,0,0,0
0473.jpg,0,0,0,1,1,0,0,0,0
0474.jpg,0,0,0,1,1,0,0,0,0
0475.jpg,0,0,0,1,1,0,0,0,0
0476.jpg,0,1,0,1,0,0,0,0,0
0477.jpg,0,0,0,1,0,0,0,1,0
0478.jpg,0,0,0,1,1,0,0,0,0
0479.jpg,0,0,0,1,1,0,0,0,0
0480.jpg,0,0,0,1,1,0,0,0,0
0481.jpg,0,0,0,1,0,0,0,0,0
0482.jpg,0,1,0,1,0,0,0,1,0
0483.jpg,0,1,0,1,0,0,0,0,0
0484.jpg,0,1,0,1,0,0,0,0,0
0485.jpg,0,1,0,1,0,0,0,0,0
0486.jpg,0,0,0,1,1,0,0,0,0
0487.jpg,0,0,0,1,1,0,0,0,1
0488.jpg,0,0,0,1,1,0,0,0,0
0489.jpg,0,0,0,1,1,0,0,0,0
0490.jpg,0,0,0,1,1,0,0,0,0
0491.jpg,0,0,0,1,1,0,0,0,0
0492.jpg,0,1,0,1,0,0,0,0,0
0493.jpg,0,1,0,1,0,0,0,0,0
0494.jpg,0,0,0,1,1,0,0,0,0
0495.jpg,0,1,0,1,0,0,0,0,0
0496.jpg,0,0,0,1,0,0,0,0,0
0497.jpg,0,1,0,0,0,0,0,0,0
0498.jpg,0,0,0,1,1,0,1,0,0
0499.jpg,0,0,0,1,0,0,0,1,0
0500.jpg,0,1,0,1,0,0,0,0,0
0501.jpg,0,0,0,0,1,0,0,0,1
0502.jpg,0,0,0,0,1,0,0,0,0
0503.jpg,0,0,0,0,1,0,0,0,1
0504.jpg,0,0,0,0,1,0,0,0,1
0505.jpg,0,0,0,1,1,0,0,0,1
0506.jpg,0,0,0,1,1,0,0,0,1
0507.jpg,0,0,0,0,1,0,0,0,1
0508.jpg,0,0,0,0,1,0,0,0,0
0509.jpg,0,0,0,0,1,0,0,0,1
0510.jpg,0,0,0,0,1,0,0,0,1
0511.jpg,0,0,0,0,1,0,0,0,1
0512.jpg,0,0,0,0,1,0,0,0,0
0513.jpg,0,0,0,0,1,0,0,0,1
0514.jpg,0,0,0,1,1,0,0,0,1
0515.jpg,0,0,0,0,1,0,0,0,1
0516.jpg,0,0,0,0,1,0,0,0,1
0517.jpg,0,0,0,0,1,0,0,0,0
0518.jpg,0,0,0,0,1,0,0,0,1
0519.jpg,0,0,0,0,1,0,0,0,1
0520.jpg,0,0,0,0,1,0,0,0,1
0521.jpg,0,0,0,1,1,0,0,0,1
0522.jpg,0,0,0,1,1,0,0,0,1
0523.jpg,0,0,0,0,1,0,0,0,1
0524.jpg,0,0,0,0,1,0,0,0,0
0525.jpg,0,0,0,0,1,0,0,0,0
0526.jpg,0,0,0,1,1,0,0,0,1
0527.jpg,0,0,0,0,1,0,0,0,1
0528.jpg,0,0,0,0,1,0,0,0,0
0529.jpg,0,0,0,0,1,0,0,0,0
0530.jpg,0,0,0,0,1,0,0,0,1
0531.jpg,0,0,0,0,1,0,0,0,0
0532.jpg,0,0,0,0,1,0,0,0,0
0533.jpg,0,0,0,0,1,0,0,0,0
0534.jpg,0,0,0,0,1,0,0,0,0
0535.jpg,0,0,0,0,1,0,0,0,0
0536.jpg,0,0,0,0,1,0,0,0,1
0537.jpg,0,0,0,1,1,0,0,0,1
0538.jpg,0,0,0,0,1,0,0,0,0
0539.jpg,0,1,0,0,1,0,0,0,0
0540.jpg,0,0,0,0,1,0,0,0,0
0541.jpg,0,0,0,0,1,0,0,0,0
0542.jpg,0,0,0,0,1,0,0,0,0
0543.jpg,0,0,0,0,1,0,0,0,0
0544.jpg,0,0,0,0,1,0,0,0,0
0545.jpg,0,1,0,0,1,0,0,0,0
0546.jpg,0,0,0,0,1,0,0,0,0
0547.jpg,0,0,0,0,1,0,0,0,0
0548.jpg,0,0,0,0,1,0,0,0,1
0549.jpg,0,0,0,0,1,0,0,0,1
0550.jpg,0,0,0,0,1,0,0,0,0
0551.jpg,0,0,0,0,1,0,0,0,0
0552.jpg,0,0,0,0,1,0,0,0,0
0553.jpg,1,0,0,0,1,0,0,0,0
0554.jpg,0,0,0,0,1,0,0,0,0
0555.jpg,0,0,0,0,1,0,0,0,1
